233,VIPS,B,07:00:00.608,25571465302,1,23.33,8,,
234,AYX,B,07:00:00.610,25571465303,1,76.63,40,,
235,AAPL,S,07:00:00.610,25571465304,1,126.30,135,,
236,VIPS,B,07:00:00.610,25571465305,1,23.26,9,,
237,NFLX,B,07:00:00.612,25571465306,1,491.53,35,,
238,PFE,B,07:00:00.613,25571465307,1,38.66,50,,
239,VIPS,B,07:00:00.613,25571465308,1,23.19,10,,
240,GTHX,S,07:00:00.613,25571465309,1,25.35,16,,
241,NFLX,S,07:00:00.614,25571465310,1,507.48,34,,
242,VIPS,B,07:00:00.616,25571465311,1,23.12,11,,
243,SQ,B,07:00:00.616,25571465312,1,218.17,20,,
244,AAL,B,07:00:00.617,25571465313,1,25.30,2,,
245,INTC,B,07:00:00.617,25571465314,1,56.60,270,,
246,GTHX,S,07:00:00.619,25571465315,1,23.40,5,,
247,INTC,S,07:00:00.619,25571465316,1,58.40,259,,
248,VIPS,B,07:00:00.619,25571465317,1,23.05,12,,
249,NVDA,B,07:00:00.622,25571465318,1,660.90,26,,
250,AMD,B,07:00:00.623,25571465319,1,81.13,50,,
251,CORR,B,07:00:00.623,25571465320,1,6.81,5,,
252,MFGP,B,07:00:00.624,25571465321,1,7.32,50,,
253,SPCE,B,07:00:00.625,25571465322,1,30.83,4,,
254,CORR,B,07:00:00.626,25571465323,1,6.77,7,,
255,AMZN,B,07:00:00.626,25571465324,1,3201.00,5,,
256,TAL,S,07:00:00.626,25571465325,1,38.82,40,,
257,SPCE,B,07:00:00.628,25571465326,1,30.52,4,,
258,CORR,B,07:00:00.629,25571465327,1,6.73,9,,
259,AMZN,S,07:00:00.629,25571465328,1,3266.00,5,,
260,ATVI,B,07:00:00.629,25571465329,1,94.63,36,,
261,V,B,07:00:00.631,25571465330,1,226.20,63,,
262,CORR,B,07:00:00.631,25571465331,1,6.69,11,,
263,V,S,07:00:00.634,25571465332,1,233.49,62,,
264,CORR,B,07:00:00.635,25571465333,1,6.65,13,,
265,SPCE,B,07:00:00.635,25571465334,1,30.80,100,,
266,M,B,07:00:00.635,25571465335,1,18.66,114,,
267,BYND,B,07:00:00.636,25571465336,1,147.63,30,,
268,AMD,B,07:00:00.636,25571465337,1,81.10,190,,
269,SPCE,B,07:00:00.637,25571465338,1,30.13,6,,
270,AMD,S,07:00:00.639,25571465339,1,82.90,186,,
271,CORR,B,07:00:00.639,25571465340,1,6.61,15,,
272,TSLA,B,07:00:00.640,25571465341,1,596.38,4,,
273,MSFT,B,07:00:00.641,25571465342,1,244.80,62,,
274,CORR,B,07:00:00.642,25571465343,1,6.57,17,,
275,MSFT,S,07:00:00.644,25571465344,1,249.80,60,,
276,CORR,B,07:00:00.645,25571465345,1,6.53,19,,
277,MRNA,B,07:00:00.645,25571465346,1,190.30,23,,
278,MOMO,S,07:00:00.645,25571465347,1,14.48,4,,
279,MRNA,B,07:00:00.647,25571465348,1,188.10,90,,
280,TAL,S,07:00:00.647,25571465349,1,38.65,66,,
281,CORR,B,07:00:00.648,25571465350,1,6.49,21,,
282,TSLA,B,07:00:00.648,25571465351,1,590.35,4,,
283,SPCE,B,07:00:00.648,25571465352,1,29.81,19,,
284,MRNA,S,07:00:00.649,25571465353,1,194.80,87,,
285,SPCE,B,07:00:00.650,25571465354,1,30.06,100,,
286,CORR,B,07:00:00.651,25571465355,1,6.45,23,,
287,FB,B,07:00:00.652,25571465356,1,325.52,46,,
288,CORR,B,07:00:00.654,25571465357,1,6.41,25,,
289,FB,S,07:00:00.654,25571465358,1,333.30,46,,
290,TSLA,B,07:00:00.655,25571465359,1,584.33,8,,
291,BAC,B,07:00:00.657,25571465360,1,42.56,3,,
292,BA,B,07:00:00.657,25571465361,1,252.90,60,,
293,BAC,B,07:00:00.660,25571465362,1,42.45,3,,
294,VIPS,B,07:00:00.660,25571465363,1,23.47,106,,
295,BA,S,07:00:00.660,25571465364,1,258.30,58,,
296,SPCE,B,07:00:00.661,25571465365,1,29.80,200,,
297,BAC,B,07:00:00.663,25571465366,1,42.34,3,,
298,PFE,B,07:00:00.663,25571465367,1,38.00,264,,
299,NVDA,B,07:00:00.666,25571465368,1,656.00,20,,
300,BAC,B,07:00:00.666,25571465369,1,42.23,3,,
